module,dataset,seed,ap,complete,error,log
range3,v2xradarv,2028,40.6117,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range3_v2xradarv_seed2028_gpu2.log
range3,v2xradarv,2035,40.7185,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_range3_v2xradarv_seed2035_gpu2.log
rccg,astyx,2026,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_rccg_astyx_seed2026_gpu0.log
rccg,astyx,2028,27.198,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_rccg_astyx_seed2028_gpu0.log
rccg,kradar,2028,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_rccg_kradar_seed2028_gpu3.log
rccg,truckscenes,2026,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_rccg_truckscenes_seed2026_gpu1.log
rccg,truckscenes,2028,14.203,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_rccg_truckscenes_seed2028_gpu1.log
rccg,v2xradarv,2026,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_rccg_v2xradarv_seed2026_gpu2.log
rccg,v2xradarv,2028,38.2742,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_rccg_v2xradarv_seed2028_gpu2.log
rcnms,astyx,2026,32.6986,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_rcnms_astyx_seed2026_gpu3.log
rcnms,astyx,2027,31.4077,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_rcnms_astyx_seed2027_gpu3.log
rcnms,astyx,2028,34.3392,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_rcnms_astyx_seed2028_gpu3.log
rcnms,kradar,2026,51.3371,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_rcnms_kradar_seed2026_gpu3.log
rcnms,kradar,2027,48.1614,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_rcnms_kradar_seed2027_gpu3.log
rcnms,kradar,2028,52.0193,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_rcnms_kradar_seed2028_gpu3.log
rcnms,truckscenes,2026,15.4,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_rcnms_truckscenes_seed2026_gpu3.log
